iter	Passed	Remaining
455	983	1173
456	985	1171
457	987	1168
458	990	1166
459	992	1164
460	994	1162
461	996	1159
462	998	1157
463	1000	1155
464	1002	1153
465	1004	1151
466	1006	1148
467	1008	1146
468	1011	1144
469	1013	1142
470	1015	1140
471	1017	1138
472	1019	1135
473	1021	1133
474	1023	1131
475	1025	1129
476	1028	1127
477	1030	1124
478	1032	1122
479	1034	1120
480	1036	1118
481	1038	1115
482	1040	1113
483	1042	1111
484	1044	1109
485	1046	1106
486	1048	1104
487	1051	1102
488	1053	1101
489	1056	1099
490	1058	1096
491	1060	1094
492	1062	1092
493	1064	1090
494	1083	1105
495	1086	1104
496	1090	1103
497	1093	1101
498	1096	1100
499	1098	1098
500	1100	1096
501	1102	1094
502	1104	1091
503	1106	1089
504	1108	1086
505	1111	1084
506	1113	1082
507	1115	1079
508	1117	1077
509	1118	1075
510	1120	1072
511	1122	1070
512	1125	1067
513	1127	1065
514	1129	1063
515	1130	1060
516	1149	1073
517	1151	1071
518	1154	1070
519	1157	1068
520	1159	1066
521	1161	1063
522	1164	1061
523	1166	1059
524	1168	1057
525	1170	1054
526	1172	1052
527	1174	1050
528	1176	1047
529	1178	1045
530	1181	1043
531	1183	1040
532	1185	1038
533	1187	1036
534	1189	1033
535	1191	1031
536	1193	1029
537	1195	1026
538	1197	1024
539	1199	1022
540	1201	1019
541	1204	1017
542	1206	1015
543	1208	1013
544	1210	1010
545	1213	1008
546	1214	1006
547	1217	1003
548	1219	1001
549	1221	999
550	1223	996
551	1225	994
552	1227	991
553	1229	989
554	1231	987
555	1233	984
556	1235	982
557	1236	979
558	1239	977
559	1241	975
560	1243	973
561	1246	971
562	1248	969
563	1250	966
564	1253	964
565	1255	962
566	1257	960
567	1259	957
568	1261	955
569	1263	953
570	1265	950
571	1267	948
572	1269	945
573	1271	943
574	1273	941
575	1275	939
576	1277	936
577	1279	934
578	1281	932
579	1283	929
580	1286	927
581	1288	925
582	1290	922
583	1292	920
584	1294	918
585	1296	915
586	1298	913
587	1300	910
588	1301	908
589	1304	906
590	1306	903
591	1307	901
592	1310	899
593	1311	896
594	1314	894
595	1316	892
596	1318	889
597	1320	887
598	1322	885
599	1324	882
600	1326	880
601	1328	878
602	1330	875
603	1332	873
604	1334	871
605	1336	869
606	1338	866
607	1340	864
608	1342	862
609	1344	859
610	1346	857
611	1348	855
612	1350	852
613	1352	850
614	1354	848
615	1356	845
616	1358	843
617	1360	841
618	1363	838
619	1365	836
620	1367	834
621	1369	832
622	1371	829
623	1373	827
624	1375	825
625	1377	823
626	1379	820
627	1381	818
628	1383	816
629	1385	813
630	1387	811
631	1390	809
632	1392	807
633	1394	805
634	1396	802
635	1398	800
636	1401	798
637	1403	796
638	1405	793
639	1407	791
640	1409	789
641	1411	787
642	1413	784
643	1415	782
644	1417	780
645	1420	778
646	1422	775
647	1424	773
648	1426	771
649	1428	769
650	1430	766
651	1432	764
652	1434	762
653	1436	760
654	1438	757
655	1441	755
656	1443	753
657	1445	751
658	1447	749
659	1449	746
660	1451	744
661	1453	742
662	1455	739
663	1458	737
664	1460	735
665	1462	733
666	1464	731
667	1466	728
668	1468	726
669	1470	724
670	1472	722
671	1475	719
672	1477	717
673	1479	715
674	1481	713
675	1483	711
676	1485	708
677	1487	706
678	1489	704
679	1491	701
680	1493	699
681	1495	697
682	1497	695
683	1499	692
684	1501	690
685	1503	688
686	1506	686
687	1508	683
688	1510	681
689	1512	679
690	1514	677
691	1516	675
692	1518	672
693	1521	670
694	1523	668
695	1525	666
696	1527	664
697	1530	662
698	1532	659
699	1534	657
700	1536	655
701	1538	653
702	1541	651
703	1543	648
704	1545	646
705	1547	644
706	1549	642
707	1551	639
708	1553	637
709	1555	635
710	1557	633
711	1560	631
712	1562	628
713	1564	626
714	1567	624
715	1569	622
716	1572	620
717	1574	618
718	1576	616
719	1578	614
720	1581	611
721	1582	609
722	1585	607
723	1587	605
724	1589	603
725	1591	600
726	1593	598
727	1596	596
728	1598	594
729	1600	592
730	1602	589
731	1604	587
732	1607	585
733	1625	589
734	1628	587
735	1630	584
736	1633	582
737	1635	580
738	1638	578
739	1640	576
740	1643	574
741	1645	572
742	1647	569
743	1649	567
744	1652	565
745	1654	563
746	1656	561
747	1659	559
748	1661	556
749	1663	554
750	1665	552
751	1668	550
752	1670	547
753	1672	545
754	1674	543
755	1677	541
756	1679	538
757	1681	536
758	1683	534
759	1685	532
760	1687	530
761	1689	527
762	1691	525
763	1693	523
764	1695	520
765	1697	518
766	1699	516
767	1701	514
768	1703	511
769	1705	509
770	1708	507
771	1710	505
772	1711	502
773	1714	500
774	1716	498
775	1718	495
776	1720	493
777	1722	491
778	1724	489
779	1726	486
780	1728	484
