iter	RMSE
465	11180.3111
466	11174.96944
467	11162.93619
468	11150.76719
469	11134.48345
470	11133.09357
471	11121.57936
472	11110.20808
473	11098.47127
474	11086.81459
475	11078.42062
476	11072.72791
477	11052.68558
478	11043.38365
479	11028.99087
480	11027.33666
481	11004.89638
482	11002.98877
483	10991.47448
484	10979.69838
485	10978.18978
486	10960.52579
487	10949.29872
488	10931.1954
489	10918.80193
490	10907.40256
491	10901.42535
492	10889.49047
493	10862.50321
494	10851.37373
495	10836.95167
496	10829.22001
497	10814.96049
498	10801.12307
499	10785.70013
500	10772.47576
501	10747.81553
502	10735.05256
503	10722.59268
504	10712.15759
505	10694.13346
506	10675.02856
507	10658.96361
508	10655.58997
509	10651.80482
510	10650.79868
511	10641.2099
512	10617.91647
513	10607.93619
514	10592.12458
515	10574.88488
516	10573.5465
517	10566.26662
518	10549.55387
519	10531.69754
520	10520.31227
521	10506.72627
522	10491.75372
523	10487.40558
524	10473.99858
525	10461.14771
526	10441.83745
527	10430.97901
528	10414.3693
529	10401.36372
530	10378.16366
531	10361.45047
532	10344.10993
533	10335.10912
534	10320.24532
535	10302.618
536	10289.17374
537	10279.34494
538	10263.54296
539	10249.38296
540	10239.0105
541	10216.9979
542	10202.45869
543	10201.1678
544	10190.21706
545	10167.55019
546	10156.46347
547	10149.18677
548	10136.0662
549	10123.54088
550	10122.38145
551	10114.81976
552	10106.64761
553	10105.26458
554	10094.66456
555	10093.13254
556	10078.09845
557	10074.12367
558	10058.20213
559	10046.30293
560	10029.0879
561	10014.45771
562	9997.485415
563	9984.489952
564	9969.304971
565	9952.425243
566	9942.578854
567	9935.010211
568	9922.930778
569	9899.034579
570	9884.940208
571	9877.576311
572	9862.624452
573	9850.083456
574	9836.632291
575	9835.356565
576	9824.581947
577	9819.388695
578	9804.108088
579	9790.798749
580	9787.862649
581	9772.505563
582	9756.105378
583	9737.912913
584	9723.319309
585	9710.557111
586	9694.583023
587	9684.791957
588	9672.345583
589	9662.582601
590	9647.839713
591	9641.23622
592	9630.949752
593	9626.983142
594	9604.89004
595	9590.205418
596	9576.222988
597	9568.387027
598	9550.181511
599	9538.028875
600	9527.066668
601	9518.940608
602	9505.2134
603	9497.437855
604	9495.963529
605	9479.413818
606	9471.326464
607	9455.458124
608	9453.849658
609	9439.576788
610	9425.336294
611	9417.410679
612	9409.398723
613	9396.891131
614	9377.466719
615	9370.301756
616	9352.406767
617	9345.351931
618	9335.653334
619	9321.405621
620	9314.049793
621	9302.483238
622	9301.749361
623	9290.60345
624	9283.014849
625	9271.854474
626	9262.232272
627	9254.778805
628	9243.16083
629	9223.101811
630	9215.198914
631	9201.629106
632	9200.855609
633	9186.334991
634	9174.578723
635	9162.850869
636	9151.572995
637	9129.682707
638	9121.982666
639	9109.369156
640	9096.674737
641	9090.319059
642	9079.632009
643	9066.552982
644	9047.803913
645	9037.950968
646	9023.196001
647	9012.56587
648	9001.84342
649	8990.352699
650	8989.074492
651	8977.155154
652	8965.165771
653	8952.300576
654	8942.927366
655	8932.475995
656	8922.280261
657	8905.518711
658	8887.601522
659	8877.392687
660	8867.246563
661	8854.818714
662	8848.526156
663	8846.870385
664	8828.824635
665	8827.585839
666	8815.892366
667	8810.715131
668	8802.353789
669	8787.265615
670	8772.450252
671	8767.61076
672	8752.058527
673	8736.915586
674	8727.257582
675	8708.105958
676	8707.253276
677	8699.407495
678	8698.663348
679	8697.562297
680	8682.348412
681	8668.584852
682	8655.365638
683	8654.690157
684	8653.571357
685	8651.865953
686	8636.786268
687	8621.488228
688	8606.708812
689	8595.870312
690	8587.987493
691	8575.50729
692	8561.206113
693	8554.549684
694	8544.129769
695	8543.174608
696	8528.313918
697	8512.11657
698	8505.870259
699	8494.05175
700	8491.056731
701	8480.851348
702	8469.419157
703	8458.348802
704	8452.775887
705	8443.183079
706	8436.785838
707	8424.876212
708	8413.292167
709	8404.97833
710	8393.554218
711	8385.817301
712	8374.892132
713	8357.548581
714	8348.741864
715	8341.688846
716	8329.925509
717	8323.530925
718	8314.834521
719	8305.333429
720	8290.875155
721	8282.876505
722	8270.069654
723	8263.304615
724	8255.93065
725	8255.239604
726	8242.304677
727	8227.281758
728	8217.653469
729	8210.010333
730	8199.136554
731	8193.873483
732	8187.128464
733	8186.61504
734	8176.264679
735	8165.203513
736	8157.462716
737	8141.787908
738	8130.198418
739	8117.471247
740	8103.840727
741	8103.266743
742	8093.752118
743	8089.893476
744	8077.35902
745	8064.232927
746	8063.156941
747	8058.816029
748	8048.640186
749	8048.171221
750	8035.707768
751	8031.194268
752	8021.85739
753	8016.775597
754	8006.854171
755	7990.455179
756	7979.718803
757	7966.498903
758	7949.728339
759	7934.219284
760	7921.849526
761	7908.919601
762	7908.437498
763	7896.682141
764	7896.055056
765	7881.828044
766	7875.671242
767	7864.361377
768	7851.727372
769	7845.861814
770	7833.467726
771	7825.311665
772	7820.513078
773	7809.213193
774	7806.355011
775	7798.516344
776	7792.905627
777	7781.512607
778	7775.219748
779	7765.15616
780	7759.798476
781	7750.914805
782	7737.747641
783	7730.57671
784	7730.0418
785	7729.232956
786	7723.153849
787	7720.375669
788	7711.074708
789	7704.39219
790	7703.965337
791	7695.317987
792	7686.724789
793	7680.256298
794	7672.063078
795	7661.648342
796	7645.839212
797	7638.766345
798	7635.028832
799	7629.256942
800	7623.04078
801	7612.699271
802	7602.805739
803	7598.520988
804	7591.685677
805	7580.670707
806	7567.619036
807	7561.681112
808	7560.525603
809	7554.543163
810	7548.262309
811	7542.602799
812	7536.319922
813	7524.152123
814	7513.425242
815	7506.123314
816	7499.855235
817	7489.485425
818	7476.592264
819	7471.356575
820	7465.525277
821	7454.555354
822	7450.532748
823	7442.788249
824	7442.016519
825	7433.104298
826	7428.630972
827	7421.746731
828	7412.282378
829	7400.079244
830	7392.182503
831	7380.887653
832	7376.229531
833	7368.476274
834	7361.890266
835	7349.731929
836	7345.043044
837	7334.58075
838	7329.515281
839	7320.924403
840	7307.999849
841	7300.601716
842	7298.538217
843	7297.650165
844	7289.26627
845	7285.378778
846	7280.554467
847	7271.606337
848	7263.03191
849	7253.059535
850	7243.263321
851	7229.369662
852	7222.632532
853	7218.075642
854	7213.19795
855	7199.093462
856	7192.17411
857	7185.810809
858	7181.410508
859	7168.454764
860	7160.832448
861	7153.091163
862	7146.643956
863	7141.701033
864	7140.841336
865	7135.631016
866	7125.296208
867	7124.868725
868	7120.857246
869	7113.691357
870	7105.857656
871	7094.339698
872	7083.417791
873	7074.599912
874	7065.601079
875	7052.415977
876	7046.265547
877	7045.686271
878	7039.582503
879	7033.012899
880	7031.98392
881	7025.859326
882	7018.137518
883	7013.244561
884	7005.646174
885	6999.901663
886	6989.845113
887	6985.102696
888	6976.099021
889	6975.565674
890	6965.617959
891	6964.802151
892	6955.75044
893	6949.361588
894	6940.148993
895	6934.527732
896	6932.662894
897	6923.346957
898	6915.965341
899	6909.517935
900	6903.16383
901	6895.406674
902	6885.233406
903	6879.341313
904	6874.274181
905	6873.698966
906	6867.786871
907	6858.051881
908	6850.844947
909	6839.041821
910	6831.331393
911	6817.624313
912	6806.382142
913	6796.025775
914	6792.11705
915	6788.253242
916	6782.859755
917	6773.301184
918	6765.797809
919	6764.059119
920	6756.85872
921	6751.947288
922	6742.796363
923	6733.95319
924	6729.003061
925	6722.632172
926	6712.819246
927	6703.922902
928	6697.496986
929	6692.240875
930	6687.279007
931	6683.540097
932	6682.533778
933	6675.24738
934	6674.412305
935	6665.930279
936	6653.77537
937	6644.294467
938	6638.679084
939	6635.470553
940	6624.726425
941	6615.115332
942	6608.139706
943	6603.5031
944	6596.128036
945	6593.142409
946	6586.207475
947	6580.295266
948	6571.638744
949	6567.283336
950	6561.009501
951	6549.179084
952	6542.138178
953	6533.862526
954	6532.592196
955	6529.741742
956	6527.254788
957	6519.938266
958	6513.407725
959	6506.512205
960	6500.531367
961	6498.186642
962	6494.014777
963	6486.707382
964	6486.271048
965	6480.581383
966	6474.699217
967	6469.184436
968	6465.127297
969	6456.67408
970	6451.071165
971	6441.58381
972	6431.774532
973	6431.13246
974	6426.961233
975	6424.790303
976	6415.633188
977	6411.867249
978	6399.112477
979	6392.591417
980	6386.350039
981	6385.367734
982	6382.180879
983	6377.329495
984	6369.620418
985	6366.139636
986	6360.15188
987	6357.842367
988	6355.365455
989	6346.114514
990	6336.263214
991	6332.864561
992	6328.175914
993	6324.987826
994	6320.633849
995	6318.846076
996	6311.898555
997	6307.319543
998	6298.863258
999	6294.744661
